edit_id,action,application,category,log
1,pass,40169,"2, 8",disable
10,pass,,"3, 5, 12, 15, 17, 21, 22, 23, 25, 26, 28, 29, 30, 31",disable
2,pass,"11414, 11767, 15722, 15832, 15861, 15880, 15894, 15973, 15997, 16003, 16027, 16040, 16062, 16072, 16097, 16105, 16152, 16175, 16179, 16442, 16531, 16533, 16535, 16537, 16538, 16539, 16590, 16667, 16677, 16679, 16684, 16723, 16778, 16939, 16940, 16999, 17004, 17143, 17333, 17399, 17521, 17735, 18007, 18090, 18155, 22922, 23260, 23813, 24318, 24429, 24484, 24731, 24755, 24800, 24887, 25056, 25078, 25192, 25238, 25376, 25452, 25455, 25565, 26630, 26633, 27104, 28844, 28875, 29210, 29867, 30138, 30165, 30169, 30184, 30185, 30220, 30254, 30536, 30734, 30795, 31486, 31615, 32836, 33238, 33313, 34256, 34391, 34527, 34646, 34815, 34860, 34881, 34927, 35284, 35285, 35444, 35523, 36572, 36590, 36869, 38051, 38164, 38174, 38259, 38327, 38338, 38344, 38350, 38468, 38474, 38483, 38500, 38517, 38614, 38670, 38797, 38861, 38923, 39021, 39083, 39187, 39188, 39304, 39381, 39592, 39771, 40316, 40424, 40933, 40934, 40935, 41698, 42669, 43045, 44306, 44419, 48692, 49405, 109051912, 152305678","3, 5, 6, 7, 12, 15, 17, 21, 22, 23, 25, 26, 28, 29, 30, 31",disable
3,,"44289, 38247, 50137, 50413, 44028, 44026, 44016, 50376, 44027, 36557",,
4,,"44419, 54409, 54399, 54402, 54387",,
5,pass,27238,,disable
6,pass,"25360, 36418, 37537, 38471, 38472, 38473",,disable
7,pass,"35692, 42903, 42904, 108855300",,
8,pass,"39100, 48424, 15511, 50589","2, 6",disable
9,pass,,"3, 5, 7, 8, 12, 15, 17, 21, 22, 23, 25, 26, 28, 29, 30, 31",disable
