edit_id,action,log,status,threshold
icmp_dst_session,,,,1000
icmp_flood,block,enable,enable,250
icmp_src_session,,,,300
icmp_sweep,,enable,enable,100
ip_dst_session,,enable,enable,500
ip_src_session,,enable,enable,500
sctp_dst_session,,,,5000
sctp_flood,block,enable,enable,1000
sctp_scan,block,enable,enable,500
sctp_src_session,,,,5000
tcp_dst_session,,,,5000
tcp_port_scan,block,enable,enable,500
tcp_src_session,,,,5000
tcp_syn_flood,block,enable,enable,1000
udp_dst_session,,,,5000
udp_flood,,enable,enable,2000
udp_scan,block,enable,enable,2000
udp_src_session,,,,5000
