edit_id,allow-routing,associated-interface,color,comment,country,dirty,end-ip,fqdn,macaddr,obj-tag,obj-type,start-ip,sub-type,subnet,tag-type,type,uuid
192.168.0.70,,,,,,,,,,,,,,"192.168.0.70, 255.255.255.255",,,0c0266a6-2ccf-51f1-a081-d7f649bdd38c
192.168.1.5/32,,,,,,,,,,,,,,"192.168.1.5, 255.255.255.255",,,d38a463c-ea62-51e9-2711-a655c78b0a72
AGM2022_1,enable,,,,,,,apc01.safelinks.protection.outlook.com,,,,,,,,fqdn,2e6969c6-d272-51ec-0531-dcdd70a3e5fd
AGM2022_2,enable,,,,,,,us02web.zoom.us,,,,,,,,fqdn,356799dc-d272-51ec-2b77-9bff1de57149
AGM2022_3,enable,,,,,,,app-uat.tiih.com.my,,,,,,,,fqdn,46ebcdd6-d272-51ec-9fbc-6c6910731417
Bintulu1_192.168.11.0/24,enable,,,,,,,,,,,,,"192.168.11.0, 255.255.255.0",,,92a7e744-2aff-51f0-dfb5-f3468d1c1d51
Bintulu2-192.168.3.0/24,,,,,,,,,,,,,,"192.168.3.0, 255.255.255.0",,,175635e2-666a-51e9-72e6-bff12a28819e
Biometric-192.168.10.0/24,,,,,,,,,,,,,,"192.168.10.0, 255.255.255.0",,,9a8772e8-6668-51e9-c338-af0cb9b2a0c7
CCTVnvr_192.168.10.8,,port8,,,,,,,,,,,,"192.168.10.8, 255.255.255.255",,,d2b5659a-8226-51f0-fb47-df7ea9ae1c17
DBATT_192.168.10.7,,,,,,,,,,,,,,"192.168.10.7, 255.255.255.255",,,61c95f76-6f3a-51ea-72df-5e5171701b58
DBFS_192.168.42.25,,,,,,,,,,,,,,"192.168.42.25, 255.255.255.255",,,71d5a4de-5ba6-51f0-7767-6f58fb5ca118
DOSSB_KK-192.168.13.0/24,,,,,,,,,,,,,,"192.168.13.0, 255.255.255.0",,,0aa6ddfa-666b-51e9-dfc3-f2a377e467da
DOSSB_KSB-192.168.4.0/24,,,,,,,,,,,,,,"192.168.4.0, 255.255.255.0",,,de211408-666a-51e9-7b80-38d957b50f11
DOSSB_Labuan-192.168.2.0/24,,,,,,,,,,,,,,"192.168.2.0, 255.255.255.0",,,a262fcb4-666b-51e9-7a4f-77a5667ff8be
DOSSB_Labuan_Leased_Line-10.10.2.0/24,,,,,,,,,,,,,,"10.10.2.0, 255.255.255.0",,,c352201c-666b-51e9-9ab3-da1698021e5a
DOSSB_Labuan_wifi_10.10.22.0/24,,,,,,,,,,,,,,"10.10.22.0, 255.255.255.0",,,c2aa6750-14e9-51ea-ae7b-43404fec8d1f
DOSSB_Miri-192.168.5.0/24,,,,,,,,,,,,,,"192.168.5.0, 255.255.255.0",,,f331acda-666b-51e9-9a9b-3a801b6c6682
DOSSB_Miri_Leased_Line-10.10.5.0/24,,,,,,,,,,,,,,"10.10.5.0, 255.255.255.0",,,0ac77fe6-666c-51e9-1ec3-0d50573aad49
DPSB_CKJ_192.168.14.0/24,,,,,,,,,,,,,,"192.168.14.0, 255.255.255.0",,,b398f3b0-6668-51e9-afab-9450be616950
DPSB_Miri-192.168.9.0/24,,,,,,,,,,,,,,"192.168.9.0, 255.255.255.0",,,d6f0e7dc-6668-51e9-4320-f4f6796ebcfa
DPSB_Miri_Leased_Line-10.10.9.0/24,,,,,,,,,,,,,,"10.10.9.0, 255.255.255.0",,,f23ba6a8-6668-51e9-5ab8-e3773e041b20
DPSB_TK 172.16.7.0/24_temp,,,,,,,,,,,,,,"172.16.7.0, 255.255.255.0",,,0f446286-35d4-51ea-ea91-5c26b0937d9d
DPSB_TK_new_192.168.7.0/24,,,,,,,,,,,,,,"192.168.7.0, 255.255.255.0",,,1ef01346-6669-51e9-644c-b351d3edfeb1
DPSB_TK_wifi_10.10.77.0/24,,,,,,,,,,,,,,"10.10.77.0, 255.255.255.0",,,32a43048-6669-51e9-732b-9083f8ddc807
DPSB_Teluk_Kalong_Leased_Line-10.10.7.0/24,,,,,,,,,,,,,,"10.10.7.0, 255.255.255.0",,,8179c46c-6669-51e9-d883-f4ec1d371afb
DPSB_bintulu-192.168.11.0/24,,,,,,,,,,,,,,"192.168.11.0, 255.255.255.0",,,ded09ce4-6669-51e9-6223-e91c72d0ca24
DR-192.168.43.0/24,,,,,,,,,,,,,,"192.168.43.0, 255.255.255.0",,,f19b26b4-6669-51e9-db67-c3721c887974
DRSSB_Bintulu-192.168.12.0/24,,,,,,,,,,,,,,"192.168.12.0, 255.255.255.0",,,0599ab0e-666a-51e9-01d6-39f3db017668
DRSSB_Kajang_Leased_Line-10.10.3.0/24,,,,,,,,,,,,,,"10.10.3.0, 255.255.255.0",,,2840defc-666a-51e9-129a-c4d5ca98ac82
Deleum_AD,,,,,,,,,,,,,,"192.168.42.43, 255.255.255.255",,,68a4d6ec-5baf-51f0-b0f9-4da525d04367
EMS1_ZTNA_Crit_Vul,,,,Critical Vulnerability Presence,,clean,,,,Crit_Vul,,,ems-tag,,zero_trust,dynamic,86619366-611b-51f0-2326-ed38f21f2480
EMS1_ZTNA_Deleum_ADUser,,,,Active Directory User,,clean,,,,Deleum_ADUser,,,ems-tag,,zero_trust,dynamic,3b55a99e-58a5-51f0-59e4-79806a941eb4
EMS1_ZTNA_Deleum_AV,,,,Antivirus Installed,,clean,,,,Deleum_AV,,,ems-tag,,zero_trust,dynamic,f6632e8c-58a5-51f0-f61f-0b361681dc02
EMS1_ZTNA_Deleum_CriticalVul,,,,Critical Vulnerability,,,,,,Deleum_CriticalVul,,,ems-tag,,zero_trust,dynamic,652ec862-58a6-51f0-603b-d7ef98c1f6f6
EMS1_ZTNA_Deleum_OSVersion,,,,Allowed OS,,clean,,,,Deleum_OSVersion,,,ems-tag,,zero_trust,dynamic,0e400dfa-6093-51f0-8848-bfd6d773e37b
EMS1_ZTNA_Not_Deleum,,,,Not Deleum Domain,,clean,,,,Not_Deleum,,,ems-tag,,zero_trust,dynamic,58735f66-611b-51f0-1203-ea0fb7b2f44b
EMS1_ZTNA_Not_Log_Domain_Name,,,,Domain_Name,,,,,,Not_Log_Domain_Name,,,ems-tag,,zero_trust,dynamic,61a36d58-6083-51f0-79d1-133c146b5768
EMS1_ZTNA_Outdated_Windows,,,,Outdated Windows,,clean,,,,Outdated_Windows,,,ems-tag,,zero_trust,dynamic,f021c186-6085-51f0-5841-804d2947a436
EMS1_ZTNA_all_registered_clients,,,,,,clean,,,,all_registered_clients,,,ems-tag,,zero_trust,dynamic,3cfb59d6-587f-51f0-4948-4b37e660c469
EMS_ALL_UNKNOWN_CLIENTS,,,,,,clean,,,,,,,ems-tag,,,dynamic,172f8b24-cd75-51ed-f0cb-f86d517a11f4
EMS_ALL_UNMANAGEABLE_CLIENTS,,,,,,clean,,,,,,,ems-tag,,,dynamic,1724ad44-cd75-51ed-c1e4-f20c401612e8
FABRIC_DEVICE,,,,IPv4 addresses of Fabric Devices.,,,,,,,,,,,,,64f0cb44-725c-51ed-67ba-46779af0e844
FAZ200F_192.168.30.2,,,19,,,,,,,,,,,"192.168.30.2, 255.255.255.255",,,41584ff8-6a82-51e9-fd80-881a315266fc
FCTEMS_ALL_FORTICLOUD_SERVERS,,,,,,,,,,,,,ems-tag,,,dynamic,a2d71520-725d-51ed-b377-e71d7456d2b9
FIREWALL_AUTH_PORTAL_ADDRESS,,,,,,,,,,,,,,,,,1751efa8-65a4-51e9-af24-8fd1109e900e
HQ_Wifi_User-10.10.10.0/23,,,,,,,,,,,,,,"10.10.10.0, 255.255.254.0",,,89f74cda-666a-51e9-404b-22020fea4b2b
ICT_HQ_192.168.111.0/24,,,,,,,,,,,,,,"192.168.111.0, 255.255.255.0",,,9f074670-666a-51e9-3ea7-4c7d9f5fbbb6
IPS_malaysia IP,,,13,,MY,,,,,,,,,,,geography,7db82722-952c-51ea-4de5-5f702477e5d4
India IP,,,6,,IN,,,,,,,,,,,geography,a78a4508-7b1e-51ea-3a5d-b79708b8d160
KaiZenHR,,,,,,,,ess.deleum.com,,,,,,,,fqdn,f9ab5238-58ad-51f0-0ea2-f91aec471e5d
LDAPgateway,,,,,,,,,,,,,,"192.168.42.28, 255.255.255.255",,,712b0c88-7666-51f0-95a6-0bade1529d30
Labuan_172.16.2.0/24_temp,,,,,,,,,,,,,,"172.16.2.0, 255.255.255.0",,,0da7e97e-1735-51ea-2203-66313d57a257
MAC_EMS1_ZTNA_Crit_Vul,,,,Critical Vulnerability Presence,,clean,,,,Crit_Vul,mac,,ems-tag,,zero_trust,dynamic,8661bfa8-611b-51f0-d3fe-2d67365bfbd3
MAC_EMS1_ZTNA_Deleum_ADUser,,,,Active Directory User,,clean,,,,Deleum_ADUser,mac,,ems-tag,,zero_trust,dynamic,3b55d2ca-58a5-51f0-a24c-a77fa5babb9b
MAC_EMS1_ZTNA_Deleum_AV,,,,Antivirus Installed,,clean,,,,Deleum_AV,mac,,ems-tag,,zero_trust,dynamic,f6635538-58a5-51f0-4355-06accfd93a5b
MAC_EMS1_ZTNA_Deleum_CriticalVul,,,,Critical Vulnerability,,,,,,Deleum_CriticalVul,mac,,ems-tag,,zero_trust,dynamic,652eee32-58a6-51f0-6d3c-0d76b2308fc7
MAC_EMS1_ZTNA_Deleum_OSVersion,,,,Allowed OS,,clean,,,,Deleum_OSVersion,mac,,ems-tag,,zero_trust,dynamic,0e403cf8-6093-51f0-18a8-ed0beae3bce3
MAC_EMS1_ZTNA_Not_Deleum,,,,Not Deleum Domain,,clean,,,,Not_Deleum,mac,,ems-tag,,zero_trust,dynamic,5873828e-611b-51f0-b5a9-d2155ff6753f
MAC_EMS1_ZTNA_Outdated_Windows,,,,Outdated Windows,,clean,,,,Outdated_Windows,mac,,ems-tag,,zero_trust,dynamic,f021ec10-6085-51f0-13b6-58e3aa289801
MAC_EMS1_ZTNA_all_registered_clients,,,,,,clean,,,,all_registered_clients,mac,,ems-tag,,zero_trust,dynamic,3cfbd8a2-587f-51f0-6de3-ceffe44e0028
Malaysia IP,,,13,,MY,,,,,,,,,,,geography,db850312-b6e0-51eb-bf7b-e6b12b2f9142
Metro-E_Internet,,,,,,,,,,,,,,"103.27.106.128, 255.255.255.248",,,75f397f0-666c-51e9-49ca-88512d90dcf6
Miri_DTS_192.168.6.0/24,,,,,,,,,,,,,,"192.168.6.0, 255.255.255.0",,,c6f78ff2-6668-51e9-f5d2-899083140a81
Miri_WS-192.168.8.0/24,,,,,,,,,,,,,,"192.168.8.0, 255.255.255.0",,,214e7f8a-666c-51e9-c9ea-3dfe7d2ab0e4
Owl_VC,,,,,,,,,,,,,,"10.10.10.58, 255.255.255.255",,,2f286f12-03db-51ec-2cf2-271ad4a0ee4e
PSA_172.16.0.100,,,,,,,,,,,,,,"172.16.0.100, 255.255.255.255",,,b031ecd4-7147-51ed-a7d4-7c4e4cbf8410
Peplink_175.138.64.170,,,,,,,,,,,,,,"175.138.64.170, 255.255.255.255",,,591b0c1c-666c-51e9-5180-40ac1ac5db97
SSLVPN_TUNNEL_ADDR1,,,,,,,10.212.134.230,,,,,10.212.134.200,,,,iprange,1752367a-65a4-51e9-3866-1978b51108b8
SSL_VPN_HQ,enable,,,,,,,,,,,,,"10.10.100.0, 255.255.255.0",,,a893e818-666c-51e9-c34b-faf0aaa61e73
SSL_VPN_HQ_new,enable,,25,,,,,,,,,,,"10.10.100.0, 255.255.255.0",,,73efce18-689e-51e9-ab3e-5360b193cf00
SangforCP_192.24.64.0/24,enable,,21,,,,,,,,,,,"192.24.64.0, 255.255.255.0",,,e2ea779e-6abe-51f1-6047-00269dc965f7
Server-192.168.42.0/24,,,,,,,,,,,,,,"192.168.42.0, 255.255.255.0",,,b9f5f0f6-666c-51e9-8435-45f2fdbbd4ac
Test_IPSEC2_range,,,,VPN: Test_IPSEC2 (Created by VPN wizard),,,10.10.100.130,,,,,10.10.100.120,,,,iprange,d9c787ea-5c7a-51f0-2c66-ab930cba6e0f
Test_IPSEC_2_range,,,,VPN: Test_IPSEC_2 (Created by VPN wizard),,,10.10.100.130,,,,,10.10.100.120,,,,iprange,b15d8400-5c91-51f0-0085-d9a389954fcf
TimeAtt-192.168.10.7,,,,,,,192.168.10.7,,,,,192.168.10.7,,,,iprange,c13fdf2a-89d0-51ee-3336-b179ccb14a97
Trust-192.168.0.0/23,,,,,,,,,,,,,,"192.168.0.0, 255.255.254.0",,,ca20db9e-666c-51e9-71de-1f1a07ee11ef
VC_pc_192.168.0.133,,,,,,,,,,,,,,"192.168.0.133, 255.255.255.255",,,d473d768-03d1-51ec-380a-b742738ab64d
all,,,,,,,,,,,,,,,,,1751ee90-65a4-51e9-c9e0-be9e4b9299e1
ariba,enable,,7,,,,,ariba.com,,,,,,,,fqdn,27ecca2e-6728-51e9-3560-444fc8bd88e4
caterpillar,enable,,10,,,,,securemail.cat.com,,,,,,,,fqdn,1cdc243c-df77-51ee-49dc-35ae7560df15
ceac.state.gov,enable,,,,,,,ceac.state.gov,,,,,,,,fqdn,e30b0e96-64da-51ea-6f57-66fb2b20e3f8
croudstrike1,,,,,,,,ts01-gyr-maverick.cloudsink.net,,,,,,,,fqdn,9a3e2584-95a1-51ef-e52c-c833a6a34169
croudstrike2,,,,,,,,lfodown01-gyr-maverick.cloudsink.net,,,,,,,,fqdn,d2afee2a-95a1-51ef-d239-2542d5c5c5b8
deleum.com_public_IP,,,,,,,,,,,,,,"60.53.219.66, 255.255.255.255",,,064182e6-b84f-51eb-dee8-94f75276abcf
efiling.rd.go.th,enable,,,,,,,efiling.rd.go.th,,,,,,,,fqdn,7667f21a-178f-51ef-dbc7-1e95e5ef5389
gmail.com,,,,,,,,gmail.com,,,,,,,,fqdn,6c9881ca-725c-51ed-84d5-9ba108e75ba2
hsbcnet.com,enable,,,,,,,hsbcnet.com,,,,,,,,fqdn,f10991fc-021a-51ef-ca23-2be4946bd102
ipad 1,,port6,,Created for DHCP Reservation,,,,,1e:3a:a6:47:c0:ac,,,,,,,mac,425f70c8-4df6-51ee-18ea-bf9beac392e6
ipad 2,,port6,,Created for DHCP Reservation,,,,,da:57:fe:2a:4e:ba,,,,,,,mac,62403dbe-4df6-51ee-d709-e94344823e38
jobsmalaysia.gov.my,enable,,,,,,,jobsmalaysia.gov.my,,,,,,,,fqdn,6d8a75e4-d9e3-51e9-2034-9c592c4a9eb7
login.microsoft.com,,,,,,,,login.microsoft.com,,,,,,,,fqdn,6c987f68-725c-51ed-b91c-0ee7acb2367e
login.microsoftonline.com,,,,,,,,login.microsoftonline.com,,,,,,,,fqdn,6c987dec-725c-51ed-d7c8-433f4a179107
login.windows.net,,,,,,,,login.windows.net,,,,,,,,fqdn,6c988094-725c-51ed-c0be-24fae2e45ab4
metroE_test_192.168.0.80,,,9,,,,,,,,,,,"192.168.0.80, 255.255.255.255",,,98460248-08ca-51ee-5577-774fcbf8173d
microsoft1,enable,,25,,,,,,,,,,,"40.92.0.0, 255.254.0.0",,,eb2dc96c-6e6b-51e9-7ad6-de9cf0dc4b6e
microsoft2,enable,,25,,,,,,,,,,,"40.107.0.0, 255.255.0.0",,,09258d38-6e6c-51e9-2bac-8e15eb75bc37
microsoft3,enable,,,,,,,,,,,,,"52.100.0.0, 255.252.0.0",,,22ca0354-6e6c-51e9-e507-ee6a374f1cef
microsoft4,enable,,25,,,,,,,,,,,"52.238.78.88, 255.255.255.255",,,442943e8-6e6c-51e9-1afc-32aea1009025
microsoft5,enable,,25,,,,,,,,,,,"104.47.0.0, 255.255.128.0",,,7432e882-6e6c-51e9-a315-67feb1ef1bca
miniOrange_52.55.147.107,,,,,,,,,,,,,,"52.55.147.107, 255.255.255.255",,,ae124dac-742a-51f0-b116-e021c1e02ab2
miniOrange_52.86.38.163,,,,,,,,,,,,,,"52.86.38.163, 255.255.255.255",,,cd51e2f4-742a-51f0-e80a-22b71690a1af
miniOrange_54.165.245.227,,,,,,,,,,,,,,"54.165.245.227, 255.255.255.255",,,f889a86c-742a-51f0-d2ee-a329ff07ea93
mrates.maybank.com.my,enable,,,,,,,mrates.maybank.com.my,,,,,,,,fqdn,93982ab0-021a-51ef-05f1-83acd6e6a703
none,,,,,,,,,,,,,,"0.0.0.0, 255.255.255.255",,,172ea67e-65a4-51e9-5960-08ffaab2deda
peplink WAN IP range,,port2,,,,,,,,,,,,"172.16.0.0, 255.255.0.0",,,05584cf2-6671-51e9-eae0-4c501b0088ac
ps.compliance.protection.outlook.com,,,28,,,,,ps.compliance.protection.outlook.com,,,,,,,,fqdn,372eba34-6e25-51e9-17c8-2c6c2bdf309d
pulse secure_local-172.16.1.0/24,,,,,,,,,,,,,,"172.16.1.0, 255.255.255.0",,,75ee2ca6-666d-51e9-65ab-ab102f0a52ba
pulse_new_172.16.0.0/24,,,,,,,,,,,,,,"172.16.0.0, 255.255.255.0",,,924e0982-a499-51ea-aec2-2ccff561c04c
qtn.mac_00:00:00:00:00:00,,,,Quarantine dummy MAC to keep the addrgrp,,,,,00:00:00:00:00:00,,,,,,,mac,2e0a01b0-0d0e-51ef-802c-0c6d44f1cae0
s2b.standardchartered.com,enable,,,,,,,s2b.standardchartered.com,,,,,,,,fqdn,a539b790-0213-51ef-e2d0-be40ccc8036c
secure.deleum.com,enable,,,,,,,secure.deleum.com,,,,,,,,fqdn,beb1c16a-bff3-51ea-6678-8ed1464a66ae
