edit_id,internet-service-id
3xK-3xK.Hosting.Service,19988876
8X8-8X8.Cloud,10354860
ADP-DNS,6160387
ADP-FTP,6160391
ADP-ICMP,6160386
ADP-Inbound_Email,6160393
ADP-LDAP,6160398
ADP-NTP,6160392
ADP-NetBIOS.Name.Service,6160408
ADP-NetBIOS.Session.Service,6160399
ADP-Other,6160384
ADP-Outbound_Email,6160388
ADP-RTMP,6160400
ADP-SSH,6160390
ADP-Web,6160385
AOL-DNS,1572867
AOL-FTP,1572871
AOL-ICMP,1572866
AOL-Inbound_Email,1572873
AOL-LDAP,1572878
AOL-NTP,1572872
AOL-NetBIOS.Name.Service,1572888
AOL-NetBIOS.Session.Service,1572879
AOL-Other,1572864
AOL-Outbound_Email,1572868
AOL-RTMP,1572880
AOL-SSH,1572870
AOL-Web,1572865
ASEM-UBIQUITY,20054413
Acronis-Cyber.Cloud,9699489
Act-on-DNS,5242883
Act-on-FTP,5242887
Act-on-ICMP,5242882
Act-on-Inbound_Email,5242889
Act-on-LDAP,5242894
Act-on-NTP,5242888
Act-on-NetBIOS.Name.Service,5242904
Act-on-NetBIOS.Session.Service,5242895
Act-on-Other,5242880
Act-on-Outbound_Email,5242884
Act-on-RTMP,5242896
Act-on-SSH,5242886
Act-on-Web,5242881
AdRoll-DNS,4128771
AdRoll-FTP,4128775
AdRoll-ICMP,4128770
AdRoll-Inbound_Email,4128777
AdRoll-LDAP,4128782
AdRoll-NTP,4128776
AdRoll-NetBIOS.Name.Service,4128792
AdRoll-NetBIOS.Session.Service,4128783
AdRoll-Other,4128768
AdRoll-Outbound_Email,4128772
AdRoll-RTMP,4128784
AdRoll-SSH,4128774
AdRoll-Web,4128769
Adobe-Adobe.Experience.Cloud,917640
Adobe-Adobe.Sign,917776
Adobe-DNS,917507
Adobe-FTP,917511
Adobe-ICMP,917506
Adobe-Inbound_Email,917513
Adobe-LDAP,917518
Adobe-NTP,917512
Adobe-NetBIOS.Name.Service,917528
Adobe-NetBIOS.Session.Service,917519
Adobe-Other,917504
Adobe-Outbound_Email,917508
Adobe-RTMP,917520
Adobe-SSH,917510
Adobe-Web,917505
Aeza-Aeza.Hosting.Service,18809201
Ahrefs-AhrefsBot,17760605
Aircall-Aircall,20906400
Akamai-CDN,7929993
Akamai-Linode.Cloud,7930148
Alcatel.Lucent-Rainbow,11534546
Alibaba-Alibaba.Cloud,6881402
Alibaba-DNS,6881283
Alibaba-DingTalk,6881623
Alibaba-FTP,6881287
Alibaba-ICMP,6881282
Alibaba-Inbound_Email,6881289
Alibaba-LDAP,6881294
Alibaba-NTP,6881288
Alibaba-NetBIOS.Name.Service,6881304
Alibaba-NetBIOS.Session.Service,6881295
Alibaba-Other,6881280
Alibaba-Outbound_Email,6881284
Alibaba-RTMP,6881296
Alibaba-SSH,6881286
Alibaba-Web,6881281
Alpemix-Alpemix,18612590
Amanah-Amanah.Hosting.Service,18874738
Amazon-AWS,393320
Amazon-AWS.API.Gateway,393478
Amazon-AWS.AppFlow,393484
Amazon-AWS.Chime.Meetings,393483
Amazon-AWS.Chime.Voice.Connector,393479
Amazon-AWS.Cloud9,393471
Amazon-AWS.CloudFront,393481
Amazon-AWS.CodeBuild,393482
Amazon-AWS.Connect,393480
Amazon-AWS.DynamoDB,393472
Amazon-AWS.EBS,393470
Amazon-AWS.EC2,393477
Amazon-AWS.Global.Accelerator,393476
Amazon-AWS.GovCloud.US,393452
Amazon-AWS.Kinesis.Video.Streams,393475
Amazon-AWS.Route53,393473
Amazon-AWS.S3,393474
Amazon-AWS.WorkSpaces.Gateway,393403
Amazon-Amazon.SES,393493
Amazon-DNS,393219
Amazon-FTP,393223
Amazon-ICMP,393218
Amazon-Inbound_Email,393225
Amazon-LDAP,393230
Amazon-NTP,393224
Amazon-NetBIOS.Name.Service,393240
Amazon-NetBIOS.Session.Service,393231
Amazon-Other,393216
Amazon-Outbound_Email,393220
Amazon-RTMP,393232
Amazon-SSH,393222
Amazon-Twitch,393446
Amazon-Web,393217
Anaplan-DNS,5832707
Anaplan-FTP,5832711
Anaplan-ICMP,5832706
Anaplan-Inbound_Email,5832713
Anaplan-LDAP,5832718
Anaplan-NTP,5832712
Anaplan-NetBIOS.Name.Service,5832728
Anaplan-NetBIOS.Session.Service,5832719
Anaplan-Other,5832704
Anaplan-Outbound_Email,5832708
Anaplan-RTMP,5832720
Anaplan-SSH,5832710
Anaplan-Web,5832705
Anthropic-Claude,20382099
AnyDesk-AnyDesk,5963927
Apple-APNs,196747
Apple-App.Store,196723
Apple-DNS,196611
Apple-FTP,196615
Apple-ICMP,196610
Apple-Inbound_Email,196617
Apple-LDAP,196622
Apple-NTP,196616
Apple-NetBIOS.Name.Service,196632
Apple-NetBIOS.Session.Service,196623
Apple-Other,196608
Apple-Outbound_Email,196612
Apple-RTMP,196624
Apple-SSH,196614
Apple-Web,196609
Apptio-DNS,5701635
Apptio-FTP,5701639
Apptio-ICMP,5701634
Apptio-Inbound_Email,5701641
Apptio-LDAP,5701646
Apptio-NTP,5701640
Apptio-NetBIOS.Name.Service,5701656
Apptio-NetBIOS.Session.Service,5701647
Apptio-Other,5701632
Apptio-Outbound_Email,5701636
Apptio-RTMP,5701648
Apptio-SSH,5701638
Apptio-Web,5701633
ArcticWolf-ArcticWolf.Cloud,15860019
Aruba.it-DNS,7798787
Aruba.it-FTP,7798791
Aruba.it-ICMP,7798786
Aruba.it-Inbound_Email,7798793
Aruba.it-LDAP,7798798
Aruba.it-NTP,7798792
Aruba.it-NetBIOS.Name.Service,7798808
Aruba.it-NetBIOS.Session.Service,7798799
Aruba.it-Other,7798784
Aruba.it-Outbound_Email,7798788
Aruba.it-RTMP,7798800
Aruba.it-SSH,7798790
Aruba.it-Web,7798785
Ask-DNS,2621443
Ask-FTP,2621447
Ask-ICMP,2621442
Ask-Inbound_Email,2621449
Ask-LDAP,2621454
Ask-NTP,2621448
Ask-NetBIOS.Name.Service,2621464
Ask-NetBIOS.Session.Service,2621455
Ask-Other,2621440
Ask-Outbound_Email,2621444
Ask-RTMP,2621456
Ask-SSH,2621446
Ask-Web,2621441
Atlassian-Atlassian.Cloud,3932388
Atlassian-Atlassian.Notification,3932436
Atlassian-DNS,3932163
Atlassian-FTP,3932167
Atlassian-ICMP,3932162
Atlassian-Inbound_Email,3932169
Atlassian-LDAP,3932174
Atlassian-NTP,3932168
Atlassian-NetBIOS.Name.Service,3932184
Atlassian-NetBIOS.Session.Service,3932175
Atlassian-Other,3932160
Atlassian-Outbound_Email,3932164
Atlassian-RTMP,3932176
Atlassian-SSH,3932166
Atlassian-Web,3932161
Automox-Automox,19857802
Avast-Avast.Security,7143550
Avast-DNS,7143427
Avast-FTP,7143431
Avast-ICMP,7143426
Avast-Inbound_Email,7143433
Avast-LDAP,7143438
Avast-NTP,7143432
Avast-NetBIOS.Name.Service,7143448
Avast-NetBIOS.Session.Service,7143439
Avast-Other,7143424
Avast-Outbound_Email,7143428
Avast-RTMP,7143440
Avast-SSH,7143430
Avast-Web,7143425
Axon-Evidence,14680353
Azion-Azion.Platform,13304053
Backblaze-DNS,8912899
Backblaze-FTP,8912903
Backblaze-ICMP,8912898
