edit_id,action,application-list,auto-asic-offload,av-profile,comments,dstaddr,dstintf,groups,inspection-mode,internet-service,internet-service-name,ips-sensor,logtraffic,name,nat,np-acceleration,port-preserve,schedule,service,srcaddr,srcintf,ssl-ssh-profile,status,timeout-send-rst,users,utm-status,uuid,webfilter-profile,ztna-ems-tag,ztna-status
105,accept,,,,VPN: to_CKJ_unifi (Created by VPN wizard),DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,,,,,,all,vpn_to_CKJ_unifi_local,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,99cbc086-f158-51e9-f91a-57a5ccf5ee06,,,
106,accept,,,,VPN: to_CKJ_unifi (Created by VPN wizard),Server-192.168.42.0/24,port10,,,,,default,all,vpn_to_CKJ_unifi_remote,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,certificate-inspection,,,,enable,99d5e8ea-f158-51e9-aedb-cc5029656c88,,,
107,accept,,,,,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,,,,,,176648a4-f357-51e9-7fe3-f87de451f5a4,,,
108,accept,,,,,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,SSL_VPN_HQ,,,,,,,,,,always,ALL,SSL_VPN_HQ,ssl.root,,,,,,8af8f78e-f358-51e9-0c12-e554c733be63,,,
111,accept,,,,,DPSB_CKJ_192.168.14.0/24,to_CKJ_unifi,,,,,,disable,,,,,always,ALL,FAZ200F_192.168.30.2,port5,,,,,,5c5b83be-f35e-51e9-c450-009fee443212,,,
112,accept,,,,,Miri_WS-192.168.8.0/24,toMiriWH,,,,,high_security,disable,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,0232777c-27ba-51ea-3a68-b2758dce50ad,,,
114,accept,,,,VPN: to_DOSSB_Miri (Created by VPN wizard),DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,,,,,,,vpn_to_DOSSB_Miri_local,,,,always,ALL,Server-192.168.42.0/24,port10,,,,,,2b75558c-5785-51ea-aa39-553cf226bc4b,,,
115,accept,,,,Reverse of vpn_to_DOSSB_Miri_local,Server-192.168.42.0/24,port10,,,,,,all,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,,,,,,96daa5f0-5791-51ea-a0c7-b05bf8ec515d,,,
116,accept,,,,,DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,,,,,high_security,disable,,,,,always,ALL,trust_dhcp,port9,certificate-inspection,disable,,,enable,58fbd84e-5791-51ea-8386-8766a405deb4,,,
117,accept,,,,Clone of 88,FAZ200F_192.168.30.2,port5,,,,,,all,,,,,always,ALL,DOSSB_Miri-192.168.5.0/24,to_DOSSB_Miri,,,,,,007c15a2-5792-51ea-d8d6-3279f74e3650,,,
