edit_id,category,icmptype,protocol,protocol-number,proxy,tcp-portrange,udp-portrange,uuid
AFS3,File Access,,,,,7000-7009,7000-7009,6ba9e9e6-c72b-51ee-8581-658bda309db2
AH,Tunneling,,IP,51,,,,6ba939e2-c72b-51ee-4598-a407daf869e0
ALL,General,,IP,,,,,688ad84c-c72b-51ee-e189-9fb9f00ebe96
ALL_ICMP,General,,ICMP,,,,,6ba9305a-c72b-51ee-b8d6-fad466f4fa73
ALL_ICMP6,General,,ICMP6,,,,,6ba93398-c72b-51ee-2b83-35b00ce76e3c
ALL_TCP,General,,,,,1-65535,,6ba92a42-c72b-51ee-a25c-f6ca92a7f569
ALL_UDP,General,,,,,,1-65535,6ba92d58-c72b-51ee-7ab1-b6fa49bb3d00
AOL,,,,,,5190-5194,,6ba9402c-c72b-51ee-cfe4-fba282905be5
BGP,Network Services,,,,,179,,6ba942de-c72b-51ee-a10e-7513d0095cda
CVSPSERVER,,,,,,2401,2401,6ba9e6f8-c72b-51ee-8faf-dee55fe2a9ae
DCE-RPC,Remote Access,,,,,135,135,6ba90328-c72b-51ee-a63c-a17c6fa4b650
DHCP,Network Services,,,,,,67-68,6ba945d6-c72b-51ee-a3dd-4faf12b2550e
DHCP6,Network Services,,,,,,"546, 547",6ba9d348-c72b-51ee-dfea-3854c2919334
DNS,Network Services,,,,,53,53,6ba8effa-c72b-51ee-f0ac-80dc99e698bc
ESP,Tunneling,,IP,50,,,,6ba93d16-c72b-51ee-fc81-8c9894ca8778
FINGER,,,,,,79,,6ba948ce-c72b-51ee-4464-fdfad3ef6bd4
FTP,File Access,,,,,21,,688ad978-c72b-51ee-9b55-4551b9bc2e42
FTP_GET,File Access,,,,,21,,688ada4a-c72b-51ee-f653-b8abbca3feee
FTP_PUT,File Access,,,,,21,,688adb1c-c72b-51ee-e3f2-78fc7a1fc521
GOPHER,,,,,,70,,6ba94b62-c72b-51ee-2027-7858619bf7ad
GRE,Tunneling,,IP,47,,,,6ba936b8-c72b-51ee-c79a-3586b60ef063
H323,"VoIP, Messaging & Other Applications",,,,,"1720, 1503",1719,6ba94e5a-c72b-51ee-c225-454f04f59a29
HTTP,Web Access,,,,,80,,6ba8f428-c72b-51ee-9dc1-fc3a3885e378
HTTPS,Web Access,,,,,443,,6ba8f752-c72b-51ee-db88-401e9d6dbd7f
IKE,Tunneling,,,,,,"500, 4500",6ba9524c-c72b-51ee-f710-bb8ff2b86bc2
IMAP,Email,,,,,143,,6ba8fa54-c72b-51ee-ffab-dcb2684ee51e
IMAPS,Email,,,,,993,,6ba8fd42-c72b-51ee-db24-6a4f52b61d16
INFO_ADDRESS,,17,ICMP,,,,,6ba97cea-c72b-51ee-db02-ea24260cb650
INFO_REQUEST,,15,ICMP,,,,,6ba979f2-c72b-51ee-0f9b-977a0312d6ff
IRC,"VoIP, Messaging & Other Applications",,,,,6660-6669,,6ba957f6-c72b-51ee-a9f9-48f4b1764c08
Internet-Locator-Service,,,,,,389,,6ba95558-c72b-51ee-4796-508244be89bd
KERBEROS,Authentication,,,,,"88, 464","88, 464",6ba91692-c72b-51ee-7998-d39a3ac54f17
L2TP,Tunneling,,,,,1701,1701,6ba95b02-c72b-51ee-79c4-14e2fa29acd2
LDAP,Authentication,,,,,389,,6ba90030-c72b-51ee-f999-e50d5928090a
LDAPS,Authentication,,,,,636,,6a82b968-780e-51f0-4865-09c924e09756
LDAP_UDP,Authentication,,,,,,389,6ba919d0-c72b-51ee-b817-0ddb7daef400
MGCP,,,,,,,"2427, 2727",6ba9b304-c72b-51ee-0e9c-3f11e41cb860
MMS,,,,,,1755,1024-5000,6ba9f3dc-c72b-51ee-653a-84f28ad7b42f
MS-SQL,"VoIP, Messaging & Other Applications",,,,,"1433, 1434",,6ba9c718-c72b-51ee-c3db-05c4ccb5b60a
MYSQL,"VoIP, Messaging & Other Applications",,,,,3306,,6ba9ca2e-c72b-51ee-918d-36d5acdbcc69
NFS,File Access,,,,,"111, 2049","111, 2049",6ba9626e-c72b-51ee-287d-c5a010dbaa77
NNTP,,,,,,119,,6ba965ac-c72b-51ee-2f6c-344ee213fe8e
NONE,,,,,,0,,6ba9f6d4-c72b-51ee-5261-6284bf2fead4
NTP,Network Services,,,,,123,123,6ba96836-c72b-51ee-26ae-bc623e496538
NetMeeting,,,,,,1720,,6ba95fda-c72b-51ee-8ea9-3a9c9d2d90cd
ONC-RPC,Remote Access,,,,,111,111,6ba97ff6-c72b-51ee-e478-7a6e0d9331e0
OSPF,Network Services,,IP,89,,,,6ba96b60-c72b-51ee-a18d-310d5c2e9a35
PC-Anywhere,Remote Access,,,,,5631,5632,6ba96e94-c72b-51ee-d101-d389e2f58f0d
PING,Network Services,8,ICMP,,,,,6ba971c8-c72b-51ee-bd4c-bdba5225997f
PING6,,128,ICMP6,,,,,6ba9c3e4-c72b-51ee-bfa5-faad0707c878
POP3,Email,,,,,110,,6ba90652-c72b-51ee-4f42-cb6d80215bc9
POP3S,Email,,,,,995,,6ba90936-c72b-51ee-48eb-0d743e162f27
PPTP,Tunneling,,,,,1723,,6ba983ac-c72b-51ee-4562-81f4b4cd2b39
QUAKE,,,,,,,"26000, 27000, 27910, 27960",6ba98758-c72b-51ee-e701-0848acfe0861
RADIUS,Authentication,,,,,,"1812, 1813",6ba9dfa0-c72b-51ee-3feb-9659c026dd04
RADIUS-OLD,,,,,,,"1645, 1646",6ba9e39c-c72b-51ee-b98e-b9ce558d67d3
RAUDIO,,,,,,,7070,6ba98a14-c72b-51ee-b87d-252d7f3f0c5c
RDP,Remote Access,,,,,3389,,6ba9cd44-c72b-51ee-31ec-5097db452762
REXEC,,,,,,512,,6ba98ca8-c72b-51ee-06e0-baf3588dc90c
RIP,Network Services,,,,,,520,6ba98f46-c72b-51ee-3bf0-9d98e8af2265
RLOGIN,,,,,,513:512-1023,,6ba99248-c72b-51ee-13a6-07aa1a431f7d
RSH,,,,,,514:512-1023,,6ba994e6-c72b-51ee-cf05-b44d6ad4cb39
RTSP,"VoIP, Messaging & Other Applications",,,,,"554, 7070, 8554",554,6ba9f076-c72b-51ee-4531-4fa4032170b4
SAMBA,File Access,,,,,139,,6ba90c1a-c72b-51ee-576d-f614a6adca2d
SCCP,"VoIP, Messaging & Other Applications",,,,,2000,,6ba99784-c72b-51ee-2be8-93e4dd7388a7
SIP,"VoIP, Messaging & Other Applications",,,,,5060,5060,6ba99a90-c72b-51ee-3ccd-b28fa706caf4
SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,,,,1863,,6ba99dce-c72b-51ee-f036-16de8b553f45
SMB,File Access,,,,,445,,6ba91cbe-c72b-51ee-415e-50ee485d6c44
SMTP,Email,,,,,25,,6ba90efe-c72b-51ee-5966-078a9fde5dc8
SMTPS,Email,,,,,465,,6ba9135e-c72b-51ee-745c-a9a9e356926f
SNMP,Network Services,,,,,161-162,161-162,6ba9a0c6-c72b-51ee-8104-5d93186aaaae
SOCKS,Tunneling,,,,,1080,1080,6ba9d938-c72b-51ee-0784-240b4f198ab4
SQUID,Tunneling,,,,,3128,,6ba9d64a-c72b-51ee-4275-139ebb045961
SSH,Remote Access,,,,,22,,6ba9a40e-c72b-51ee-d2d2-035553ed1393
SYSLOG,Network Services,,,,,,514,6ba9a6fc-c72b-51ee-178e-593f0a1314ce
TALK,,,,,,,517-518,6ba9a9fe-c72b-51ee-3dac-052931a326ea
TELNET,Remote Access,,,,,23,,6ba9ac9c-c72b-51ee-d33d-d2896901a72a
TFTP,File Access,,,,,,69,6ba9afa8-c72b-51ee-73b5-b41e5c363a17
TIMESTAMP,,13,ICMP,,,,,6ba976dc-c72b-51ee-35fc-be27325640d3
TRACEROUTE,Network Services,,,,,,33434-33535,6ba9ed60-c72b-51ee-b0f4-807f71c92518
UUCP,,,,,,540,,6ba9b656-c72b-51ee-21be-d0f18769b06f
VDOLIVE,,,,,,7000-7010,,6ba9b8ea-c72b-51ee-c25d-2391da313d28
VNC,Remote Access,,,,,5900,,6ba9d03c-c72b-51ee-59fd-e7811ad0dd83
WAIS,,,,,,210,,6ba9bb9c-c72b-51ee-b39a-42e248718ee8
WINFRAME,,,,,,"1494, 2598",,6ba9be3a-c72b-51ee-4902-b573858eabfa
WINS,Remote Access,,,,,1512,1512,6ba9dc76-c72b-51ee-2786-19f7d4f9e286
X-WINDOWS,Remote Access,,,,,6000-6063,,6ba9c0ce-c72b-51ee-7c41-92ddfd765bb2
port_8081,,,,,,8081,,38fdb104-742b-51f0-311f-0e16b647743a
webproxy,Web Proxy,,ALL,,enable,0-65535:0-65535,,688ad040-c72b-51ee-7f95-8a816c78e0b7
