edit_id,fortiguard-category,type,wildcard-fqdn
1,31,,
10,,wildcard-fqdn,dropbox.com
11,,wildcard-fqdn,eease
12,,wildcard-fqdn,firefox update server
13,,wildcard-fqdn,fortinet
14,,wildcard-fqdn,googleapis.com
15,,wildcard-fqdn,google-drive
16,,wildcard-fqdn,google-play2
17,,wildcard-fqdn,google-play3
18,,wildcard-fqdn,Gotomeeting
19,,wildcard-fqdn,icloud
2,33,,
20,,wildcard-fqdn,itunes
21,,wildcard-fqdn,microsoft
22,,wildcard-fqdn,skype
23,,wildcard-fqdn,softwareupdate.vmware.com
24,,wildcard-fqdn,verisign
25,,wildcard-fqdn,Windows update 2
26,,wildcard-fqdn,live.com
27,,wildcard-fqdn,google-play
28,,wildcard-fqdn,update.microsoft.com
29,,wildcard-fqdn,swscan.apple.com
3,,wildcard-fqdn,adobe
30,,wildcard-fqdn,autoupdate.opera.com
31,,wildcard-fqdn,cdn-apple
32,,wildcard-fqdn,mzstatic-apple
4,,wildcard-fqdn,Adobe Login
5,,wildcard-fqdn,android
6,,wildcard-fqdn,apple
7,,wildcard-fqdn,appstore
8,,wildcard-fqdn,auth.gfx.ms
9,,wildcard-fqdn,citrix
