edit_id,uuid,wildcard-fqdn
Adobe Login,1752d54e-65a4-51e9-8477-d435a69e7c2c,*.adobelogin.com
Gotomeeting,1752df9e-65a4-51e9-c933-55034d4d52ae,*.gotomeeting.com
Windows update 2,1752e58e-65a4-51e9-b535-0f28032bd6de,*.windowsupdate.com
adobe,1752d47c-65a4-51e9-f0bf-245062053178,*.adobe.com
android,1752d602-65a4-51e9-2105-aba1af2d941b,*.android.com
apple,1752d6c0-65a4-51e9-a6d5-a562bbfc1b15,*.apple.com
appstore,1752d774-65a4-51e9-3bd7-78d0933d0d35,*.appstore.com
auth.gfx.ms,1752d83c-65a4-51e9-3af7-fc480fe8dc42,*.auth.gfx.ms
autoupdate.opera.com,375e88c6-271c-51ea-940b-d0a86c29fdd3,*autoupdate.opera.com
cdn-apple,2f613ef8-725e-51ed-38d0-9f2f01a00b92,*.cdn-apple.com
citrix,1752d8fa-65a4-51e9-e323-1b4ec3658ee5,*.citrixonline.com
dropbox.com,1752d9ae-65a4-51e9-1c41-b408e5b6df74,*.dropbox.com
eease,1752da6c-65a4-51e9-4cfa-56a6a6a9ed04,*.eease.com
firefox update server,1752db20-65a4-51e9-9cd2-8c7dfd02e182,aus*.mozilla.org
fortinet,1752dbde-65a4-51e9-3aaf-db635cae6937,*.fortinet.com
google-drive,1752dd64-65a4-51e9-a669-ea116d9c432d,*drive.google.com
google-play,375e872c-271c-51ea-4b91-df214b128343,*play.google.com
google-play2,1752de22-65a4-51e9-a39f-8336c5d4f946,*.ggpht.com
google-play3,1752dee0-65a4-51e9-7d1d-7128debed4ba,*.books.google.com
googleapis.com,1752dca6-65a4-51e9-ea9f-acec318d2b12,*.googleapis.com
icloud,1752e106-65a4-51e9-674b-b9ca746707c3,*.icloud.com
itunes,1752e1d8-65a4-51e9-622d-0d1f68ccb024,*itunes.apple.com
live.com,1752e64c-65a4-51e9-3f14-6b4e956efc81,*.live.com
microsoft,1752e296-65a4-51e9-d058-fa7798685b40,*.microsoft.com
mzstatic-apple,2f613fa2-725e-51ed-31c0-fa5d00565dda,*.mzstatic.com
skype,1752e354-65a4-51e9-bbf9-589aae31bae0,*.messenger.live.com
softwareupdate.vmware.com,1752e412-65a4-51e9-e787-d60666cac922,*.softwareupdate.vmware.com
swscan.apple.com,375e883a-271c-51ea-7feb-2198b229103a,*swscan.apple.com
update.microsoft.com,375e87ae-271c-51ea-19b5-83daa1d18399,*update.microsoft.com
verisign,1752e4d0-65a4-51e9-a60f-e61c6d631e70,*.verisign.com
