edit_id,block-malicious-url,comment,scan-botnet-connections
all_default,,All predefined signatures with default setting.,
all_default_pass,,All predefined signatures with PASS action.,
default,enable,Prevent critical attacks.,
default+portscan,enable,Prevent critical attacks.,
high_security,enable,Blocks all Critical/High/Medium and some Low severity vulnerabilities,monitor
protect_client,,Protect against client-side vulnerabilities.,
protect_email_server,,Protect against email server-side vulnerabilities.,
protect_http_server,enable,Protect against HTTP server-side vulnerabilities.,
protect_http_server+portscan,enable,Protect against HTTP server-side vulnerabilities.,
quarantine_protect_http_server,enable,30 days ban HTTP server-side vulnerabilities.,
sniffer-profile,,Monitor IPS attacks.,
wifi-default,,Default configuration for offloading WiFi traffic.,
