edit_id,action,location,protocol,quarantine,quarantine-expiry,rate-count,rate-duration,rule,severity,status
1,block,server,HTTP,,,,,,"medium, high, critical",enable
10,block,,,attacker,30d4h,30,1,43960,,enable
11,block,,,attacker,30d4h,50,2,47781,,enable
12,block,,,attacker,30d4h,10,50,44633,,enable
13,block,,,attacker,30d4h,200,1,30582,,enable
14,block,,,,,,,43814,,enable
2,block,,,attacker,30d4h,500,,12090,low,enable
3,block,,,attacker,30d,60,,20954,,enable
4,block,,,attacker,30d,100,10,30023,,enable
5,block,,,attacker,30d,100,1,41842,,enable
6,block,,,attacker,30d4h,20,5,47469,,enable
7,block,,,attacker,30d4h,2000,1,33106,,enable
8,block,,,attacker,30d4h,300,1,43461,,enable
9,block,,,attacker,30d4h,39,1,48411,,enable
