edit_id,blackhole,comment,device,distance,dst,dstaddr,dynamic-gateway,gateway,sdwan-zone,vrf
2,,,HQ_Vlan20,5,"192.168.2.0, 255.255.255.0",,,10.10.2.254,,
22,,,port4,,,single_session,,103.27.106.129,,
23,,,toMiriWH,5,"192.168.8.0, 255.255.255.0",,,,,
24,,,toKSB_secondary,4,"192.168.4.0, 255.255.255.0",,,,,
25,,,to_TKY,6,"192.168.7.0, 255.255.255.0",,,,,
26,,,toIT_fromHQ,4,"192.168.43.0, 255.255.255.0",,,,,
27,,VPN: toDOSSB_KSB (Created by VPN wizard),toDOSSB_KSB,6,,toDOSSB_KSB_remote,,,,
28,,,toTKY_secondary,4,"192.168.7.0, 255.255.255.0",,,,,
29,,VPN: to_CKJ_unifi (Created by VPN wizard),to_CKJ_unifi,6,"192.168.14.0, 255.255.255.0",,,,,
30,enable,VPN: to_CKJ_unifi (Created by VPN wizard),,254,,to_CKJ_unifi_remote,,,,0
31,,,HQ_Vlan20,5,"10.10.22.0, 255.255.255.0",,,10.10.2.254,,
32,,VPN: to_DOSSB_Miri (Created by VPN wizard),to_DOSSB_Miri,6,"192.168.5.0, 255.255.255.0",,,,,
33,enable,VPN: to_DOSSB_Miri (Created by VPN wizard),,254,,to_DOSSB_Miri_remote,,,,0
34,enable,VPN: toDOSSB_KSB (Created by VPN wizard),,254,,toDOSSB_KSB_remote,,,,0
35,,,toDOSSB_KSB,6,"192.168.4.0, 255.255.255.0",,,,,
36,,,toIT_fromHQ,4,"192.168.111.0, 255.255.255.0",,,,,
37,,,toCKJ_secondary,4,"192.168.14.0, 255.255.255.0",,,,,
38,,,port2,6,"172.16.0.0, 255.255.0.0",,,172.16.1.1,,
39,,,MiriWHsecondary,4,"192.168.8.0, 255.255.255.0",,,,,
4,,,,1,,,,,virtual-wan-link,
40,,,to_KK,6,"192.168.13.0, 255.255.255.0",,,,,
41,,,port2,5,"192.168.111.0, 255.255.255.0",,,172.16.1.1,,
42,,,Miri_secondary,4,"192.168.5.0, 255.255.255.0",,,,,
43,,,toKK_secondary,4,"192.168.13.0, 255.255.255.0",,,,,
44,,,toLabuan,6,"192.168.2.0, 255.255.255.0",,,,,
45,,,toLabuan_second,4,"192.168.2.0, 255.255.255.0",,,,,
46,,,toLabuan,6,"10.10.22.0, 255.255.255.0",,,,,
47,,,toLabuan_second,4,"10.10.22.0, 255.255.255.0",,,,,
48,,,toIT_secondary,6,"192.168.111.0, 255.255.255.0",,,,,
49,,,unifi2_Vlan,,,Unifi2_route,enable,,,
50,,,unifi3,,,banking,enable,,,
51,,,toMiri_DTS,6,"192.168.6.0, 255.255.255.0",,,,,
52,,,MiriDTS_second,4,"192.168.6.0, 255.255.255.0",,,,,
53,,,toBintulu1,6,"192.168.11.0, 255.255.255.0",,,,,
54,,,toBintulu2,6,"192.168.3.0, 255.255.255.0",,,,,
55,,,Bintulu1_second,4,"192.168.11.0, 255.255.255.0",,,,,
56,,,Bintulu2_second,4,"192.168.3.0, 255.255.255.0",,,,,
6,,,HQ_Vlan70,7,"192.168.7.0, 255.255.255.0",,,10.10.7.254,,
9,,,HQ_Vlan70,7,"10.10.77.0, 255.255.255.0",,,10.10.7.254,,
