edit_id,guid,type
AVG-Internet-Security-AV,17DDD097-36FF-435F-9E1B-52D74245D6BF,
AVG-Internet-Security-AV-Vista-Win7,0C939084-9E57-CBDB-EA61-0B0C7F62AF82,
AVG-Internet-Security-FW,8DECF618-9569-4340-B34A-D78D28969B66,fw
AVG-Internet-Security-FW-Vista-Win7,34A811A1-D438-CA83-C13E-A23981B1E8F9,fw
CA-Anti-Virus,17CFD1EA-56CF-40B5-A06B-BD3A27397C93,
CA-Internet-Security-AV,6B98D35F-BB76-41C0-876B-A50645ED099A,
CA-Internet-Security-AV-Vista-Win7,3EED0195-0A4B-4EF3-CC4F-4F401BDC245F,
CA-Internet-Security-FW,38102F93-1B6E-4922-90E1-A35D8DC6DAA3,fw
CA-Internet-Security-FW-Vista-Win7,06D680B0-4024-4FAB-E710-E675E50F6324,fw
CA-Personal-Firewall,14CB4B80-8E52-45EA-905E-67C1267B4160,fw
ESET-Smart-Security-AV,19259FAE-8396-A113-46DB-15B0E7DFA289,
ESET-Smart-Security-FW,211E1E8B-C9F9-A04B-6D84-BC85190CE5F2,fw
F-Secure-Internet-Security-AV,E7512ED5-4245-4B4D-AF3A-382D3F313F15,
F-Secure-Internet-Security-AV-Vista-Win7,15414183-282E-D62C-CA37-EF24860A2F17,
F-Secure-Internet-Security-FW,D4747503-0346-49EB-9262-997542F79BF4,fw
F-Secure-Internet-Security-FW-Vista-Win7,2D7AC0A6-6241-D774-E168-461178D9686C,fw
FortiClient-AV,1A0271D5-3D4F-46DB-0C2C-AB37BA90D9F7,
FortiClient-AV-Vista,385618A6-2256-708E-3FB9-7E98B93F91F9,
FortiClient-AV-Win7,71629DC5-BE6F-CCD3-C5A5-014980643264,
FortiClient-FW,528CB157-D384-4593-AAAA-E42DFF111CED,fw
FortiClient-FW-Vista,006D9983-6839-71D6-14E6-D7AD47ECD682,fw
FortiClient5-AV,5EEDDB8C-C27A-6714-3657-DBD811D1F1B7,
Kaspersky-AV,2C4D4BC6-0793-4956-A9F9-E252435469C0,
Kaspersky-AV-Vista-Win7,AE1D740B-8F0F-D137-211D-873D44B3F4AE,
Kaspersky-FW,2C4D4BC6-0793-4956-A9F9-E252435469C0,fw
Kaspersky-FW-Vista-Win7,9626F52E-C560-D06F-0A42-2E08BA60B3D5,fw
McAfee-Internet-Security-Suite-AV,84B5EE75-6421-4CDE-A33A-DD43BA9FAD83,
McAfee-Internet-Security-Suite-AV-Vista-Win7,86355677-4064-3EA7-ABB3-1B136EB04637,
McAfee-Internet-Security-Suite-FW,94894B63-8C7F-4050-BDA4-813CA00DA3E8,fw
McAfee-Internet-Security-Suite-FW-Vista-Win7,BE0ED752-0A0B-3FFF-80EC-B2269063014C,fw
McAfee-Virus-Scan-Enterprise,918A2B0B-2C60-4016-A4AB-E868DEABF7F0,
Norton-360-2.0-AV,A5F1BC7C-EA33-4247-961C-0217208396C4,
Norton-360-2.0-FW,371C0A40-5A0C-4AD2-A6E5-69C02037FBF3,fw
Norton-360-3.0-AV,E10A9785-9598-4754-B552-92431C1C35F8,
Norton-360-3.0-FW,7C21A4C9-F61F-4AC4-B722-A6E19C16F220,fw
Norton-Internet-Security-AV,E10A9785-9598-4754-B552-92431C1C35F8,
Norton-Internet-Security-AV-Vista-Win7,88C95A36-8C3B-2F2C-1B8B-30FCCFDC4855,
Norton-Internet-Security-FW,7C21A4C9-F61F-4AC4-B722-A6E19C16F220,fw
Norton-Internet-Security-FW-Vista-Win7,B0F2DB13-C654-2E74-30D4-99C9310F0F2E,fw
Panda-Antivirus+Firewall-2008-AV,EEE2D94A-D4C1-421A-AB2C-2CE8FE51747A,
Panda-Antivirus+Firewall-2008-FW,7B090DC0-8905-4BAF-8040-FD98A41C8FB8,fw
Panda-Internet-Security-2006~2007-FW,4570FB70-5C9E-47E9-B16C-A3A6A06C4BF0,fw
Panda-Internet-Security-2008~2009-FW,7B090DC0-8905-4BAF-8040-FD98A41C8FB8,fw
Panda-Internet-Security-AV,4570FB70-5C9E-47E9-B16C-A3A6A06C4BF0,
Sophos-Anti-Virus,3F13C776-3CBE-4DE9-8BF6-09E5183CA2BD,
Sophos-Enpoint-Secuirty-and-Control-AV-Vista-Win7,479CCF92-4960-B3E0-7373-BF453B467D2C,
Sophos-Enpoint-Secuirty-and-Control-FW,0786E95E-326A-4524-9691-41EF88FB52EA,fw
Sophos-Enpoint-Secuirty-and-Control-FW-Vista-Win7,7FA74EB7-030F-B2B8-582C-1670C5953A57,fw
Symantec-Endpoint-Protection-AV,FB06448E-52B8-493A-90F3-E43226D3305C,
Symantec-Endpoint-Protection-AV-Vista-Win7,88C95A36-8C3B-2F2C-1B8B-30FCCFDC4855,
Symantec-Endpoint-Protection-FW,BE898FE3-CD0B-4014-85A9-03DB9923DDB6,fw
Symantec-Endpoint-Protection-FW-Vista-Win7,B0F2DB13-C654-2E74-30D4-99C9310F0F2E,fw
Trend-Micro-AV,7D2296BC-32CC-4519-917E-52E652474AF5,
Trend-Micro-AV-Vista-Win7,48929DFC-7A52-A34F-8351-C4DBEDBD9C50,
Trend-Micro-FW,3E790E9E-6A5D-4303-A7F9-185EC20F3EB6,fw
Trend-Micro-FW-Vista-Win7,70A91CD9-303D-A217-A80E-6DEE136EDB2B,fw
ZoneAlarm-AV,5D467B10-818C-4CAB-9FF7-6893B5B8F3CF,
ZoneAlarm-AV-Vista-Win7,D61596DF-D219-341C-49B3-AD30538CBC5B,
ZoneAlarm-FW,829BDA32-94B3-44F4-8446-F8FCFF809F8B,fw
ZoneAlarm-FW-Vista-Win7,EE2E17FA-9876-3544-62EC-0405AD5FFB20,fw
