edit_id,hostname,query,safesearch,safesearch-str,url
baidu,.*\.baidu\.com,wd=,,,^\/s?\?
baidu2,.*\.baidu\.com,word=,,,^\/(ns|q|m|i|v)\?
baidu3,tieba\.baidu\.com,kw=,,,^\/f\?
bing,.*\.bing\..*,q=,header,,^(\/images|\/videos)?(\/search|\/async|\/asyncv2)\?
google,.*\.google\..*,q=,url,&safe=active,^\/((custom|search|images|videosearch|webhp)\?)
google-translate-1,translate\.google\..*,u=,translate,regex::(?:\?|&)u=([^&]+)::\1,^\/translate
google-translate-2,.*\.translate\.goog,,translate,case::google-translate,^\/
twitter,twitter\.com,variables=,translate,"regex::%22screen_name%22:%22([A-Za-z0-9_]{4,15})%22::twitter.com/\1",^\/i\/api\/graphql\/.*\/UserByScreenName
vimeo,.*vimeo.*,q=,header,,^\/search\?
yahoo,.*\.yahoo\..*,p=,url,&vm=r,"^\/search(\/video|\/images){0,1}(\?|;)"
yandex,yandex\..*,text=,url,&family=yes,^\/((|yand|images\/|video\/)(search)|search\/)\?
youtube,.*youtube.*,,header,,
yt-channel,,,yt-channel,,www.youtube.com/channel
yt-pattern,,,yt-pattern,,youtube.com/channel/
yt-scan-1,,,yt-scan,,www.youtube.com/user/
yt-scan-2,,,yt-scan,,www.youtube.com/youtubei/v1/browse
yt-scan-3,,,yt-scan,,www.youtube.com/youtubei/v1/player
yt-scan-4,,,yt-scan,,www.youtube.com/youtubei/v1/navigator
yt-video,,,yt-video,,www.youtube.com/watch
